"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"yen hsun lu" 1 353 1791.80744927536 213 174.87619047619 66 41 4 26.9466666666667 "M" 13.0999505195448 353 66.4945861928015 1791.80744927536 7.90450272142503 213 26.9466666666667 59.4594594594595 36.9369369369369 3.6036036036036
"jack sock" 4 1911.5 10489.9047868319 1088 175.520639034929 320 196 22 143.546666666667 "M" 13.3162270109604 477.875 73.0766170362616 2622.47619670798 7.57941668214749 272 35.8866666666667 59.4795539033457 36.4312267657993 4.08921933085502
"darian king" 1 694 3831.35053125 264 166.896296296296 82 53 3 33.9666666666667 "M" 20.4317958783121 694 112.797365983808 3831.35053125 7.77232580961727 264 33.9666666666667 59.4202898550725 38.4057971014493 2.17391304347826
"nicolas almagro" 1 384.5 1920.46600966184 212 165.247311827957 59 52 4 28.4566666666667 "M" 13.5117722853461 384.5 67.4873846665751 1920.46600966184 7.44992386084104 212 28.4566666666667 51.304347826087 45.2173913043478 3.47826086956522
"kyle edmund" 5 1732.5 9542.44062925823 986 166.302558840866 296 184 14 125.886666666667 "M" 13.7623788592914 346.5 75.8018373345726 1908.48812585165 7.83244187893872 197.2 25.1773333333333 59.919028340081 37.246963562753 2.83400809716599
"thanasi kokkinakis" 2 1071.5 5766.05572318056 609 176.63385106383 191 124 11 86.8533333333333 "M" 12.3368897758674 535.75 66.3884217437123 2883.02786159028 7.01182069389009 304.5 43.4266666666666 58.5889570552147 38.0368098159509 3.37423312883436
"tennys sandgren" 1 589 3479.69715254237 238 164.453846153846 74 56 2 33.6 "M" 17.5297619047619 589 103.562415254237 3479.69715254237 7.08333333333333 238 33.6 56.0606060606061 42.4242424242424 1.51515151515152
"stefano travaglia" 1 332 1879.13488111888 192 163.967391304348 47 47 8 24.9633333333333 "M" 13.2995059420484 332 75.2757997510569 1879.13488111888 7.69128054479905 192 24.9633333333333 46.078431372549 46.078431372549 7.84313725490196
"alexandr dolgopolov" 6 1704 9180.44419314895 1056 167.978181812016 324 202 21 130.83 "M" 13.0245356569594 284 70.1707879931893 1530.07403219149 8.07154322403119 176 21.805 59.2321755027422 36.9287020109689 3.83912248628885
"andrey rublev" 6 2656.5 13537.6557177951 1331 164.792554879769 409 246 21 168.73 "M" 15.7440881882297 442.75 80.2326540496362 2256.27595296585 7.88834232205298 221.833333333333 28.1216666666667 60.5029585798817 36.3905325443787 3.10650887573965
"philipp kohlschreiber" 6 2116 11600.5854135875 1037 165.359510181313 299 188 19 136.04 "M" 15.5542487503675 352.666666666667 85.2733417640952 1933.43090226458 7.62275801234931 172.833333333333 22.6733333333333 59.0909090909091 37.1541501976285 3.75494071146245
