"Player" "n" "RallyCount" "PDist" "Point" "Speed" "PrimerServei" "SegonServei" "DobleFalta" "Time" "Genere" "rally_min" "rally_partit" "Dist_min" "Dist_partit" "PercentatgePrimerServei" "PercentatgeSegonServei" "PercentatgeDobleFalta"
"dustin brown" 5 1299.5 10591.5812405159 971 177.371984868486 300 191 28 133.716666666667 1 9.71830985915493 259.9 79.209133046361 2118.31624810318 57.8034682080925 36.8015414258189 5.39499036608863
"janko tipsarevic" 5 2827 22312.7557938868 1493 169.293111118364 441 272 29 214.123333333333 1 13.2026713576288 565.4 104.205158057911 4462.55115877736 59.4339622641509 36.6576819407008 3.90835579514825
"steve johnson" 20 7544 76018.8229367591 4883 172.603836549512 1535 894 89 643.683333333334 1 11.7200486781803 377.2 118.099722332553 3800.94114683796 60.9610802223987 35.5043685464655 3.53455123113582
"juan martin del potro" 29 12464.5 97391.7702481526 6051 176.990864082244 1818 975 100 912.266666666667 1 13.6632198187664 429.810344827586 106.758005972105 3358.33690510871 62.8413411683374 33.7020394054615 3.45661942620118
"fernando verdasco" 15 6770 47310.2729081288 3598 169.178791336614 1151 582 79 512.83 1 13.2012557767681 451.333333333333 92.2533254843298 3154.01819387525 63.5209713024283 32.1192052980132 4.3598233995585
"donald young" 6 2393 23351.9078994319 1288 163.474011446239 403 212 35 168.953333333333 1 14.1636743874048 398.833333333333 138.215135734316 3891.98464990531 62 32.6153846153846 5.38461538461539
"jared donaldson" 5 2067 19058.5702465943 1224 166.29401882192 309 283 31 163.19 1 12.6662172927263 413.4 116.787611045985 3811.71404931886 49.5987158908507 45.4253611556982 4.97592295345104
"feliciano lopez" 14 5055.5 46554.7946320881 3017 179.494467477255 887 583 69 403.04 1 12.5434200079397 361.107142857143 115.509117288825 3325.34247372058 57.6348278102664 37.8817413905133 4.48343079922027
"vasek pospisil" 12 3805 40810.7819898155 2604 176.896227378234 803 513 52 370.24 1 10.277117545376 317.083333333333 110.227911597384 3400.89849915129 58.6988304093567 37.5 3.80116959064327
"sergiy stakhovsky" 4 1379 10733.9570384433 883 173.95759768646 267 177 19 115.173333333333 1 11.9732576985413 344.75 93.1982840800243 2683.48925961083 57.6673866090713 38.2289416846652 4.1036717062635
"federico delbonis" 7 2833 36619.7061251765 1474 167.862014596236 446 281 31 207.83 1 13.6313333012558 404.714285714286 176.200289299795 5231.38658931093 58.8390501319261 37.0712401055409 4.08970976253298
"nicolas almagro" 3 1072.5 13332.5455323049 620 168.076786774819 162 138 18 79.58 1 13.4770042724303 357.5 167.536385175985 4444.18184410162 50.9433962264151 43.3962264150943 5.66037735849057
"ryan harrison" 6 2696 28315.2075770847 1550 179.082824531292 453 300 42 210.86 1 12.7857346106421 449.333333333333 134.284395224721 4719.20126284744 56.9811320754717 37.7358490566038 5.28301886792453
"alessandro giannessi" 1 456 9631.18945794393 232 164.886597938144 66 35 7 29.39 1 15.5154814562776 456 327.702941746986 9631.18945794393 61.1111111111111 32.4074074074074 6.48148148148148
"marcel granollers" 4 1716.5 17454.9817649869 865 171.873080351818 263 167 12 123.75 1 13.8707070707071 429.125 141.050357696864 4363.74544124673 59.5022624434389 37.7828054298643 2.71493212669683
"lucas pouille" 23 10195 91950.3545581639 5963 173.216035521837 1674 1182 140 767.396666666667 1 13.2851762886643 443.260869565217 119.821154498322 3997.84150252887 55.8744993324433 39.4526034712951 4.67289719626168
"daniel evans" 20 8637.5 88075.6040511573 4620 171.327595387296 1402 814 93 655.96 1 13.1677236416855 431.875 134.269778723028 4403.78020255786 60.7189259419662 35.2533564313556 4.02771762667822
"joao sousa" 12 5263 53849.0784676212 2740 165.537843930741 873 460 33 378.28 1 13.9129745162314 438.583333333333 142.352433297085 4487.4232056351 63.909224011713 33.6749633967789 2.41581259150805
"paolo lorenzi" 11 6226.5 45714.2213714452 2780 166.277353707854 835 520 60 398.12 1 15.639756857229 566.045454545455 114.825232019103 4155.83830649502 59.0106007067138 36.7491166077738 4.24028268551237
"illya marchenko" 3 1360 19393.3875251594 640 169.091179308335 160 124 15 89.5266666666667 1 15.1910045424082 453.333333333333 216.621351461308 6464.46250838645 53.5117056856187 41.4715719063545 5.01672240802676
"grigor dimitrov" 29 12035.5 101427.428035826 6107 171.458447930003 1873 982 139 857.003333333333 1 14.043702669379 415.01724137931 118.351264330935 3497.49751847676 62.5584502338009 32.7989311957248 4.64261857047428
"denisa allertova" 4 983.5 7609.76652366066 607 156.534713635204 181 98 23 74.4899999999999 2 13.2031145120151 245.875 102.158229610158 1902.44163091516 59.9337748344371 32.4503311258278 7.6158940397351
"kirsten flipkens" 10 2490.5 19250.1161104196 1362 144.47163216678 411 233 21 181.71 2 13.705905013483 249.05 105.938672117217 1925.01161104196 61.8045112781955 35.0375939849624 3.15789473684211
"agnieszka radwanska" 22 7767 53642.2917376685 3292 137.570220027154 1062 528 31 471.64 2 16.4680688660843 353.045454545455 113.73567071849 2438.28598807584 65.5151141270821 32.5724861196792 1.91239975323874
"katerina siniakova" 13 4162 40408.128594821 2219 149.800098154003 623 365 78 300.473333333333 2 13.8514787779282 320.153846153846 134.481579934396 3108.317584217 58.4427767354597 34.2401500938086 7.31707317073171
"kurumi nara" 8 2744 18894.4823484852 1135 136.677034142543 381 177 23 155.913333333333 2 17.5995211014666 343 121.185802038431 2361.81029356065 65.5765920826162 30.4647160068847 3.95869191049914
"karolina pliskova" 54 13831.5 118908.456572563 8014 156.347034301214 2396 1288 214 1031.88 2 13.4041749040586 256.138888888889 115.23477203993 2202.00845504747 61.4674191893279 33.0425859415085 5.48999486916367
"nao hibino" 9 2185 23339.6595714957 1274 141.470524710182 393 197 34 166.41 2 13.130220539631 242.777777777778 140.253948509679 2593.29550794397 62.9807692307692 31.5705128205128 5.44871794871795
"louisa chirico" 3 554 5439.59870471015 299 149.906622788976 90 64 6 36.9166666666666 2 15.0067720090294 184.666666666667 147.34804617725 1813.19956823672 56.25 40 3.75
"kateryna kozlova" 5 1453.5 16690.8621792139 775 153.333132053757 259 138 21 107.506666666667 2 13.5200917772541 290.7 155.254206057428 3338.17243584278 61.9617224880383 33.0143540669856 5.02392344497608
"madison keys" 36 8318 71327.5131742491 4904 152.919483548155 1457 786 72 607.43 2 13.6937589516488 231.055555555556 117.425074781043 1981.31981039581 62.9373650107991 33.9524838012959 3.11015118790497
"taylor townsend" 7 2304 20207.0999401654 1287 144.248024302044 444 182 26 175.263333333333 2 13.1459327868541 329.142857142857 115.295650013306 2886.72856288077 68.0981595092024 27.9141104294479 3.98773006134969
"johanna konta" 30 7422.5 50930.7060811454 4332 153.955537574609 1316 725 66 603.1 2 12.307245896203 247.416666666667 84.4481944638459 1697.69020270485 62.4584717607973 34.4091124822022 3.13241575700047
"samantha crawford" 2 494 4834.72955830315 346 157.305202661827 97 67 6 45.1266666666667 2 10.9469641010489 247 107.136864196406 2417.36477915157 57.0588235294118 39.4117647058824 3.52941176470588
"elise mertens" 26 6728.5 62359.1738934864 3571 150.678443855003 1110 582 107 512.726666666667 2 13.1229765047004 258.788461538462 121.622646036523 2398.42976513409 61.7009449694275 32.3513062812674 5.94774874930517
"roberta vinci" 7 2209 31696.4315473001 920 138.871692970105 241 179 9 120.873333333333 2 18.2753295460813 315.571428571429 262.228488891678 4528.0616496143 56.1771561771562 41.7249417249417 2.0979020979021
"magda linette" 12 2627.5 29984.3805883936 1703 149.779966872576 516 304 40 239.883333333333 2 10.9532411588967 218.958333333333 124.995680907637 2498.69838236614 60 35.3488372093023 4.65116279069767
"polona hercog" 7 1806.5 17831.9044085148 937 157.995008379379 263 165 23 135.84 2 13.2987338044758 258.071428571429 131.271381099196 2547.41491550212 58.3148558758315 36.5853658536585 5.09977827050998
"shuai zhang" 19 4657.5 40339.7177206454 2578 149.18593710185 846 386 53 330.456666666667 2 14.0941323622865 245.131578947368 122.072640045529 2123.1430379287 65.8365758754864 30.0389105058366 4.12451361867704
"lucie safarova" 12 2941 18241.6617316866 1717 144.104071868543 529 264 40 227.253333333333 2 12.9415043417038 245.083333333333 80.2701613398556 1520.13847764055 63.5054021608643 31.6926770708283 4.80192076830732
"varvara lepchenko" 6 2040.5 18569.0264619606 946 146.814570986806 330 122 18 132.25 2 15.4291115311909 340.083333333333 140.40851767078 3094.83774366011 70.2127659574468 25.9574468085106 3.82978723404255
"kristina mladenovic" 23 5972.5 48279.4397795078 3610 150.732673710576 1054 615 148 521.07 2 11.4619916709847 259.673913043478 92.654422207204 2099.1060773699 58.0077050082554 33.8470005503577 8.1452944413869
"laura siegemund" 9 1972.5 21483.7211850935 1175 148.040246857442 397 163 33 173.616666666667 2 11.3612364404339 219.166666666667 123.742274273362 2387.08013167705 66.9477234401349 27.4873524451939 5.56492411467116
"julia goerges" 18 3818 25714.3045204077 2651 155.644157207852 719 476 69 352.056666666667 2 10.8448450533531 212.111111111111 73.0402431059612 1428.57247335598 56.8829113924051 37.6582278481013 5.45886075949367
"monica niculescu" 8 2629 33531.3757557045 1138 140.102153292681 437 109 14 164.326666666667 2 15.9986206336971 328.625 204.053160913452 4191.42196946307 78.0357142857143 19.4642857142857 2.5
"caroline wozniacki" 28 9239.5 76462.8928964406 3799 148.051301398276 1220 568 53 548.13 2 16.8564026781968 329.982142857143 139.497733925238 2730.81760344431 66.2683324280282 30.8527973927213 2.87887017925041
"andrea petkovic" 12 3212.5 29768.8145346306 1750 145.614832746786 549 261 39 286.546666666667 2 11.2110883625704 267.708333333333 103.888189944502 2480.73454455255 64.6643109540636 30.7420494699647 4.59363957597173
"anastasija sevastova" 24 7006.5 72170.5615716314 3433 147.14877458614 1046 620 53 451.633333333333 2 15.5136910473098 291.9375 159.799014477005 3007.10673215131 60.8493310063991 36.0674810936591 3.08318789994183
"evgeniya rodina" 7 2008 14748.5451714343 993 140.873579702663 320 146 16 130.59 2 15.3763687878092 286.857142857143 112.937783685078 2106.93502449062 66.3900414937759 30.2904564315353 3.3195020746888
"petra kvitova" 31 6870.5 50603.2294828235 4204 154.555541748399 1203 668 146 569.423333333333 2 12.0657156070176 221.629032258065 88.8675024723671 1632.3622413814 59.6430342092216 33.1184928111056 7.23847297967278
"mirjana lucic baroni" 9 2098 12813.0651794696 1318 152.536962860029 381 243 57 161.476666666667 2 12.9925892285779 233.111111111111 79.3493291877232 1423.67390882995 55.9471365638767 35.6828193832599 8.37004405286344
"yaroslava shvedova" 4 697.5 10063.7834345285 453 152.403630265068 139 76 10 59.1733333333333 2 11.7874042361424 174.375 170.072951236963 2515.94585863213 61.7777777777778 33.7777777777778 4.44444444444444
"ana konjuh" 8 1770 20639.9684624009 1168 156.747328942813 340 193 38 159.453333333333 2 11.1004264570616 221.25 129.442063272854 2579.99605780011 59.5446584938704 33.800350262697 6.65499124343257
"kateryna bondarenko" 4 856 8183.23244843452 560 146.806901350702 189 79 23 65.7366666666667 2 13.0216520460423 214 124.485053218922 2045.80811210863 64.9484536082474 27.1477663230241 7.90378006872852
"lesia tsurenko" 8 3149 29682.1849949791 1161 144.333665125628 378 170 36 164.01 2 19.2000487775136 393.625 180.977897658552 3710.27312437239 64.7260273972603 29.1095890410959 6.16438356164384
"catherine bellis" 5 1495 13723.8806397811 680 138.865850755436 187 129 17 88.3866666666666 2 16.9143158847488 299 155.270937997222 2744.77612795622 56.1561561561562 38.7387387387387 5.10510510510511
"dudi sela" 5 1486 8167.09951256693 881 159.735012830419 289 151 10 111.56 1 13.3201864467551 297.2 73.2081347487175 1633.41990251339 64.2222222222222 33.5555555555556 2.22222222222222
"david goffin" 31 12659.5 87346.4408482996 6653 163.017420095377 1828 1275 166 877.826666666667 1 14.4214119719914 408.370967741935 99.5030615553939 2817.6271241387 55.9192413582135 39.0027531355154 5.07800550627103
"pablo carreno busta" 16 6734 55945.1042460845 3555 165.081076500441 1206 560 41 488.983333333333 1 13.7714305191043 420.875 114.411065638402 3496.56901538028 66.7404537908135 30.9905921416713 2.26895406751522
"roger federer" 51 18606.5 121239.142599011 10990 174.29680393235 3223 1808 131 1363.79333333333 1 13.6431961831949 364.833333333333 88.8984713707925 2377.23809017669 62.4370399070128 35.0251840371949 2.53777605579233
"marin cilic" 40 14213.5 103484.754644761 8424 174.528978705155 2339 1535 202 1178.33666666667 1 12.0623421150152 355.3375 87.8227399453701 2587.11886611902 57.3846908734053 37.6594700686948 4.9558390578999
"sam groth" 3 680.5 3881.26870364691 539 183.669535306335 173 102 21 68.28 1 9.96631517281781 226.833333333333 56.8434197956489 1293.75623454897 58.4459459459459 34.4594594594595 7.09459459459459
"ivan dodig" 1 474.5 2528.78322996516 289 174.903846153846 104 52 2 45.0033333333333 1 10.5436634323384 474.5 56.1910205902932 2528.78322996516 65.8227848101266 32.9113924050633 1.26582278481013
